ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
59,TR060,Tokat,TUR,Turkey,294799.35,301342.21,279674.07,320855.1,324415.97000000003,358429.99,173174.9,271567.45,271666.77999999997,284541.19,291284.51999999996,292346.44999999995,302061.88999999996,281333.61,280851.08999999997,263370.4,253073.03000000003,212941.28999999998,267170.18,269730.84,202012.71
60,TR061,Trabzon,TUR,Turkey,900.4000000000001,1068.8700000000001,1006.18,1043.67,912.2900000000001,1092.48,997.75,778.1,989.9100000000001,1036.94,1082.28,1022.6700000000001,1029.04,1081.49,1012.51,1045.5900000000001,1015.0,1006.5699999999999,970.5600000000001,764.1800000000001,80.71000000000001
61,TR062,Tunceli,TUR,Turkey,89458.36,89473.73,93958.28,86550.69,83644.84,93577.58000000002,82956.16000000002,97816.59,85736.92,86475.83,83317.01000000001,55861.020000000004,85549.31999999999,56557.46,81311.17,93858.78,84771.83000000002,83464.81,79032.55,71428.75,67472.10999999999
62,TR063,Sanliurfa,TUR,Turkey,1875711.3299999998,1909706.19,1913196.27,2087968.86,2043768.9700000002,2076231.5,2041999.7399999998,2053005.8099999998,2062754.7999999998,1948744.12,2039944.5400000003,2039045.9400000002,2174167.5500000003,867226.6400000001,2138313.2600000002,2026783.9600000002,2038277.12,2300287.0500000003,2275026.02,1956961.7700000003,1637911.74
63,TR064,Usak,TUR,Turkey,257341.77000000002,269625.79000000004,260852.47,273757.39999999997,266218.6,306606.25,271379.37,256459.61000000002,255113.93000000002,270301.0,279119.93000000005,280711.87,241842.61,293489.56,269573.51,301386.69999999995,262883.75,297593.82,267552.44999999995,240369.82,224465.47999999998
64,TR065,Van,TUR,Turkey,337346.14,321063.67,319549.42999999993,336718.51,343078.11,378287.19,351241.99000000005,327018.52,359864.39,349408.68000000005,330123.13,371600.13,416110.94000000006,331321.49,328372.8,340593.16000000003,333080.96,312910.27,329000.94,294673.97,237462.72
65,TR066,Yozgat,TUR,Turkey,1120663.77,971526.4400000001,794343.59,935678.45,1028418.0,1189540.0,880143.0000000001,805654.1900000001,872456.56,893380.46,952413.67,775054.2,854658.05,926638.5800000001,953769.0199999999,1034957.22,984101.5399999999,921684.8,903603.9799999999,874178.2299999999,810289.26
66,TR067,Zonguldak,TUR,Turkey,1857.29,1950.83,1468.18,1918.09,1445.37,1759.47,1946.06,1863.92,1569.02,2579.63,2161.16,2251.56,2325.7200000000003,1882.15,1820.7200000000003,2337.7400000000002,2354.6299999999997,2015.0500000000002,2256.98,1976.4699999999998,747.97
67,TR068,Aksaray,TUR,Turkey,514717.92000000004,549581.4,472523.11,508553.07000000007,503044.06000000006,524815.9,493838.97000000003,474625.62,488996.37,485564.38999999996,541306.71,504054.75000000006,510915.30999999994,368736.93,499726.55,586626.91,535665.35,519638.49,496475.66,439030.2299999999,410356.42000000004
68,TR069,Bayburt,TUR,Turkey,70161.56,77327.37999999999,56181.18,92728.56,82764.86,85377.43,65458.08,58131.42,84516.70000000001,67470.18,60163.270000000004,78147.23999999999,96926.89000000001,63007.700000000004,69730.17,61935.07,50322.75,58196.06,86481.45999999999,76569.6,48943.560000000005
69,TR070,Karaman,TUR,Turkey,280906.02,295286.02,236959.67999999996,276317.09,256962.38,262567.65,282781.31,275510.29,281030.96,280882.09,296237.84,274643.31,274938.07,256419.56,276634.18000000005,300961.88,273331.91,273045.55,261838.44,255110.94,223158.41
70,TR071,Kirikkale,TUR,Turkey,439997.28,249102.40999999997,191246.02000000002,276163.0,281683.69,374669.67000000004,264173.22000000003,271306.94,280142.04000000004,297707.17000000004,258462.66000000003,234133.99,253905.06999999995,295097.2800000001,305491.44000000006,335387.85000000003,89737.79,324623.80999999994,282168.6,279084.97000000003,180231.49
71,TR072,Batman,TUR,Turkey,174305.96999999997,193018.33,146901.46,175891.08999999997,174512.78000000003,160282.21000000002,26853.469999999998,81740.11,184924.25,162756.19,175884.30000000002,35693.33,156700.80000000002,136808.58000000002,160916.86000000002,109710.15999999999,187296.33,169029.2,78049.3,155451.74999999997,143751.36
72,TR073,Sirnak,TUR,Turkey,171798.58,162674.13,117541.87000000002,194277.56,148245.92,59875.44,184772.46999999997,93269.72,52799.21,207285.86000000002,40466.13,42449.93,43418.49,94614.04,141081.94999999998,121823.26999999999,146040.57,51319.030000000006,74542.64,155545.39,171400.04
73,TR074,Bartin,TUR,Turkey,1934.6000000000001,2445.7799999999997,1698.9099999999999,2333.2400000000002,1036.49,1613.9,2289.8599999999997,1487.61,1076.58,2338.5,2386.25,2149.85,2090.29,1666.94,1954.5100000000002,2515.3999999999996,2391.5099999999998,2447.1800000000003,2263.1400000000003,1787.16,302.73
74,TR075,Ardahan,TUR,Turkey,66895.48,68862.56999999999,69486.85,67524.29000000001,69828.25,68891.81,69556.74,66595.31999999999,67944.75,70620.9,69182.54,69853.16,65903.01,67738.48,40362.98,67084.9,68446.16,70393.32,68593.96,69673.12,38089.979999999996
75,TR076,Igdir,TUR,Turkey,83885.15,73445.88,77689.72,90365.56,79941.70000000001,78263.56,75875.03,84279.64,63520.67,77786.36,78071.42,85381.14,78436.98999999999,75962.04000000001,83704.43000000001,72867.76999999999,84725.74,82385.98000000001,84096.17,77728.63,8985.650000000001
76,TR077,Yalova,TUR,Turkey,8478.93,6305.1,1584.7800000000002,8086.19,8053.76,4243.18,6317.859999999999,5237.150000000001,6247.070000000001,7461.91,6643.749999999999,4890.54,7029.419999999999,5776.31,5534.85,7041.88,5180.4800000000005,6535.59,4871.95,6364.12,4297.99
77,TR078,Karabuk,TUR,Turkey,19935.64,33048.270000000004,34008.78,49984.0,38691.81,48718.41,15492.01,15094.48,30205.83,31616.829999999998,37854.85,22439.46,25197.18,21711.71,32763.699999999997,30700.14,15676.62,10278.25,28867.4,29483.019999999997,22945.02
78,TR079,Kilis,TUR,Turkey,77172.18,43102.350000000006,100628.59,107863.72,103689.13,30418.24,102774.75000000001,114230.39,78813.82,109995.56,65480.51999999999,36621.64,120414.02,48524.200000000004,123258.10999999999,115935.5,122606.1,82358.43000000001,64890.77,40565.74,95105.76000000002
79,TR080,Osmaniye,TUR,Turkey,112397.71,103777.97000000002,207401.66,105910.11000000002,112378.23,117195.52,116520.64,111919.33,159340.37,120293.45,109767.35,113922.79000000001,107414.91,117021.12999999999,109345.92000000001,115059.56,116970.74,116410.93,111779.5,110499.16,107048.54000000001
80,TR081,Duzce,TUR,Turkey,8905.78,9423.34,8499.789999999999,9248.6,7643.49,8415.6,6358.82,8577.890000000001,8271.61,9255.44,9338.54,9555.42,9223.98,9311.11,9530.87,9349.52,9945.58,9729.1,6743.16,9466.35,2893.57
